# https://www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt
# https://translated.turbopages.org/proxy_u/en-ru.ru.99294af1-6746a008-8ed92243-74722d776562/https/www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt

# emoji-data.txt
# Дата: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode и логотип Unicode являются зарегистрированными товарными знаками Unicode, Inc. в США и других странах.
# Условия использования и лицензии см. в разделе https://www.unicode.org/terms_of_use.html
#
# Данные эмодзи для UTS #51
# Используется с Emoji версии 16.0 и последующими незначительными изменениями (если таковые имеются)
#
# Документацию и способы использования см. в разделе https://www.unicode.org/reports/tr51
#
# Формат: 
# <кодовые точки> ; <свойство> # <комментарии> 
# Примечание: нет гарантии относительно структуры пробелов или комментариев
#
# Символы и последовательности перечислены в порядке кодовых обозначений. Пользователям следует показывать более естественный порядок.
# Смотрите порядок сортировки смайликов в CLDR.


# ================================================

# Все пропущенные кодовые точки имеют эмодзи = Нет

# 0023; Эмодзи # E0.0 [1] (#️) хэш-знак
# 002A ; Эмодзи # E0.0 [1] (*️) звездочка
# 0030..0039 ; Эмодзи # E0.0 [10] (0️..9️) цифра ноль .. цифра девять
2660 ; Эмодзи # E0.6 [1] (♠️) пиковая масть
2663 ; Эмодзи # E0.6 [1] (♣️) клубный костюм
2665..2666 ; Эмодзи # E0.6 [2] (♥️..♦️) масть сердца..бриллиантовая масть
2668 ; Эмодзи # E0.6 [1] (♨️) горячие источники
267B ; Эмодзи # E0.6 [1] (♻️) символ утилизации
267E ; Эмодзи # E11.0 [1] (♾️) бесконечность
267F ; Эмодзи # E0.6 [1] (♿) символ инвалидной коляски
2692 ; Эмодзи # E1.0 [1] (⚒️) молоток и кирка
2693 ; Эмодзи # E0.6 [1] (⚓) якорь
2694 ; Эмодзи # E1.0 [1] (⚔️) скрещенные мечи
2695 ; Эмодзи # E4.0 [1] (⚕️) медицинский символ
2696..2697 ; Эмодзи # E1.0 [2] (⚖️..⚗️) весы ..перегонный куб
2699 ; Эмодзи # E1.0 [1] (⚙️) передача
269B..269C ; Эмодзи # E1.0 [2] (⚛️..⚜️) символ атома..лилия
26A0..26A1 ; Эмодзи # E0.6 [2] (⚠️..⚡) предупреждение..высокое напряжение
26A7 ; Эмодзи # E13.0 [1] (⚧️) символ трансгендера
26AA ..26AB ; Эмодзи # E0.6 [2] (⚪..⚫) белый круг .. черный круг
26B0..26B1 ; Эмодзи # E1.0 [2] (⚰️..⚱️) гроб ..погребальная урна 
26BD..26BE ; Эмодзи # E0.6 [2] (⚽..⚾) футбольный мяч .. бейсбол
26C4 ..26C5 ; Эмодзи # E0.6 [2] (⛄..⛅) снеговик без снега .. солнце за облаками
26C8 ; Эмодзи # E0.7 [1] (⛈️) облако с молнией и дождем
26CE ; Эмодзи # E0.6 [1] (⛎) Змееносец
26CF ; Эмодзи # E0.7 [1] (⛏️) выберите
26D1 ; Эмодзи # E0.7 [1] (⛑️) шлем спасателя
26D3 ; Цепочки с эмодзи # E0.7 [1] (⛓️)
26D4 ; Эмодзи # E0.6 [1] (⛔) записи нет
26E9 ; Эмодзи # E0.7 [1] (⛩️) синтоистский храм
26EA ; Эмодзи # E0.6 [1] (⛪) церковь
26F0..26F1 ; Эмодзи # E0.7 [2] (⛰️..⛱️) гора .. зонтик на земле
26F2..26F3 ; Эмодзи # E0.6 [2] (⛲..⛳) фонтан..флаг в проруби
26F4 ; Эмодзи # E0.7 [1] (⛴️) паром
26F5 ; Эмодзи # E0.6 [1] (⛵) парусник
26F7..26F9 ; Эмодзи # E0.7 [3] (⛷️..⛹️) лыжник .. человек, отбивающий мяч
26FA ; Эмодзи # E0.6 [1] (⛺) палатка
26FD ; Эмодзи # E0.6 [1] (⛽) топливный насос
2702 ; Эмодзи # E0.6 [1] (✂️) ножницы
2705 ; Эмодзи # E0.6 [1] (✅) кнопка флажка
2708..270C ; Эмодзи # E0.6 [5] (✈️..✌️) самолет..рука победы
270D ; Эмодзи # E0.7 [1] (✍️) пишущая рука
270F; Эмодзи # E0.6 [1] (✏️) карандаш
2712 ; Эмодзи # E0.6 [1] (✒️) черным пером 
2714 ; Эмодзи # E0.6 [1] (✔️) галочка
2716 ; Эмодзи # E0.6 [1] (✖️) умножить
271D ; Эмодзи # E0.7 [1] (✝️) латинский крест
2721 ; Эмодзи # E0.7 [1] (✡️) звезда Давида
2728 ; Эмодзи # E0.6 [1] (✨) сверкает
2733..2734 ; Эмодзи # E0.6 [2] (✳️..✴️) звездочка с восемью спицами .. восьмиконечная звезда
2744 ; Эмодзи # E0.6 [1] (❄️) снежинка
2747 ; Эмодзи # E0.6 [1] (❇️) искорка
274C ; Эмодзи # E0.6 [1] (❌) перекрестный знак
274E; Эмодзи # E0.6 [1] (❎) кнопка перекрестного знака
2753..2755 ; Эмодзи # E0.6 [3] (❓..❕) красный вопросительный знак .. белый восклицательный знак 
2757 ; Эмодзи # E0.6 [1] (❗) красный восклицательный знак
2763 ; Эмодзи # E1.0 [1] (❣️) восклицание в виде сердца
2764 ; Эмодзи # E0.6 [1] (❤️) красное сердце
2795..2797 ; Эмодзи # E0.6 [3] (➕..➗) плюс..разделить
27A1 ; Эмодзи # E0.6 [1] (➡️) стрелка вправо
27B0 ; Эмодзи # E0.6 [1] (➰) фигурная петля
27BF ; Эмодзи # E1.0 [1] (➿) двойная фигурная петля
2934 ..2935 ; Эмодзи # E0.6 [2] (⤴️..⤵️) стрелка вправо, загибающаяся вверх .. стрелка вправо, загибающаяся вниз
2B05 ..2B07 ; Эмодзи # E0.6 [3] (⬅️..⬇️) стрелка влево .. стрелка вниз
2B1B .. 2B1C ; Эмодзи # E0.6 [2] (⬛..⬜) черный большой квадрат .. белый большой квадрат
2B50 ; Эмодзи # E0.6 [1] (⭐) звезда
2B55 ; Эмодзи # E0.6 [1] (⭕) полый красный круг
3030 ; Эмодзи # E0.6 [1] (〰️) волнистая черточка
303D ; Эмодзи # E0.6 [1] (〽️) знак чередования частей
3297 ; Эмодзи # E0.6 [1] (㊗️) Японская кнопка “поздравления”
3299; Эмодзи # E0.6 [1] (㊙️) японская кнопка “секрет”
1F004 ; Эмодзи # E0.6 [1] (🀄) красный дракон маджонга
1F0CF ; Эмодзи # E0.6 [1] (🃏) джокер
1F170..1F171 ; Эмодзи # E0.6 [2] (🅰️..🅱️) Кнопка A (группа крови)..Кнопка B (группа крови)
1F17E..1F17F ; Эмодзи # E0.6 [2] (🅾️..🅿️) Кнопка O (группа крови)..КнопкаP
1F18E ; Эмодзи # E0.6 [1] (🆎) кнопка AB (группа крови)
1F191..1F19A ; Эмодзи # E0.6 [10] (🆑..🆚) Кнопка CL .. кнопка VS
1F1E6..1F1FF ; Эмодзи # E0.0 [26] (🇦..🇿) буква символа регионального индикатора a .. буква символа регионального индикатора z
1F201..1F202 ; Эмодзи # E0.6 [2] (🈁..🈂️) Японская кнопка “здесь"..Японская кнопка “взимать плату за обслуживание”
1F21A; Эмодзи # E0.6 [1] (🈚) Японская кнопка “бесплатно”
1F22F; Эмодзи # E0.6 [1] (🈯) японская кнопка “зарезервировано”
1F232..1F23A ; Эмодзи # E0.6 [9] (🈲..🈺) Японская кнопка “запрещено”..Японская кнопка “открыто для бизнеса”
1F250..1F251 ; Эмодзи # E0.6 [2] (🉐..🉑) Японская кнопка “выгодная сделка”..Японская кнопка “приемлемо”
1F300..1F30C ; Эмодзи # E0.6 [13] (🌀..🌌) циклон .. млечный путь
1F30D..1F30E; Эмодзи # E0.7 [2] (🌍..🌎) глобус, показывающий Европу-Африку .. глобус, показывающий Америку
1F30F ; Эмодзи # E0.6 [1] (🌏) глобус, показывающий Азию-Австралию 
1F310; Эмодзи # E1.0 [1] (🌐) глобус с меридианами
1F311 ; Эмодзи # E0.6 [1] (🌑) новолуние
1F312; Эмодзи # E1.0 [1] (🌒) растущий полумесяц
1F313..1F315 ; Эмодзи # E0.6 [3] (🌓..🌕) первая четверть луны ..полнолуние
1F316..1F318 ; Эмодзи # E1.0 [3] (🌖..🌘) убывающая висячая луна .. убывающий полумесяц
1F319 ; Эмодзи # E0.6 [1] (🌙) полумесяц
1F31A ; Эмодзи # E1.0 [1] (🌚) лик новолуния 
1F31B; Эмодзи # E0.6 [1] (🌛) лик луны первой четверти
1F31C ; Эмодзи # E0.7 [1] (🌜) лик луны последней четверти
1F31D..1F31E ; Эмодзи # E1.0 [2] (🌝..🌞) лицо полной луны .. солнце с лицом 
1F31F..1F320 ; Эмодзи # E0.6 [2] (🌟..🌠) светящаяся звезда .. падающая звезда
1F321 ; Эмодзи # E0.7 [1] (🌡️) термометр
1F324..1F32C ; Эмодзи # E0.7 [9] (🌤️..🌬️) солнце за небольшим облаком .. ветер в лицо
1F32D..1F32F ; Эмодзи # E1.0 [3] (🌭..🌯) хот-дог ..буррито
1F330..1F331 ; Эмодзи # E0.6 [2] (🌰..🌱) каштан.. саженец
1F332..1F333 ; Эмодзи # E1.0 [2] (🌲..🌳) вечнозеленое дерево..листопадное дерево
1F334..1F335 ; Эмодзи # E0.6 [2] (🌴..🌵) пальма ..кактус
1F336 ; Эмодзи # E0.7 [1] (🌶️) острый перец
1F337..1F34A ; Эмодзи # E0.6 [20] (🌷..🍊) тюльпан..мандарин
1F34B ; Эмодзи # E1.0 [1] (🍋) лимон
1F34C..1F34F ; Эмодзи # E0.6 [4] (🍌..🍏) банан..зеленое яблоко
1F350 ; Эмодзи # E1.0 [1] (🍐) груша
1F351..1F37B ; Эмодзи # E0.6 [43] (🍑..🍻) персик .. звон пивных кружек
1F37C ; Эмодзи # E1.0 [1] (🍼) детская бутылочка
1F37D ; Эмодзи # E0.7 [1] (🍽️) вилка и нож с тарелкой
1F37E..1F37F ; Эмодзи # E1.0 [2] (🍾..🍿) бутылка с хлопающей пробкой ..попкорн
1F380..1F393 ; Эмодзи # E0.6 [20] (🎀..🎓) лента.. выпускной колпачок
1F396..1F397 ; Эмодзи # E0.7 [2] (🎖️..🎗️) военная медаль .. лента-напоминание
1F399..1F39B; Эмодзи # E0.7 [3] (🎙️..🎛️) студийный микрофон.. ручки управления
1F39E..1F39F ; Эмодзи # E0.7 [2] (🎞️..🎟️) кадры из фильма .. входные билеты
1F3A0..1F3C4 ; Эмодзи # E0.6 [37] (🎠..🏄) лошадь на карусели .. человек, занимающийся серфингом
1F3C5 ; Эмодзи # E1.0 [1] (🏅) спортивная медаль
1F3C6 ; Эмодзи # E0.6 [1] (🏆) трофей
1F3C7 ; Эмодзи # E1.0 [1] (🏇) скачки
1F3C8 ; Эмодзи # E0.6 [1] (🏈) американский футбол
1F3C9 ; Эмодзи # E1.0 [1] (🏉) регби-футбол
1F3CA ; Эмодзи # E0.6 [1] (🏊) плавание человека
1F3CB ..1F3CE ; Эмодзи # E0.7 [4] (🏋️..🏎️) человек, поднимающий тяжести .. гоночный автомобиль
1F3CF..1F3D3 ; Эмодзи # E1.0 [5] (🏏..🏓) игра в крикет .. пинг-понг
1F3D4..1F3DF ; Эмодзи # E0.7 [12] (🏔️..🏟️) заснеженная гора.. стадион
1F3E0..1F3E3 ; Эмодзи # E0.6 [4] (🏠..🏣) дом..Почтовое отделение Японии
1F3E4 ; Эмодзи # E1.0 [1] (🏤) почтовое отделение
1F3E5..1F3F0 ; Эмодзи # E0.6 [12] (🏥..🏰) больница.. замок
1F3F3 ; Эмодзи # E0.7 [1] (🏳️) белый флаг
1F3F4 ; Эмодзи # E1.0 [1] (🏴) черный флаг
1F3F5 ; Эмодзи # E0.7 [1] (🏵️) розетка
1F3F7 ; Эмодзи # E0.7 [1] (🏷️) метка
1F3F8..1F407 ; Эмодзи # E1.0 [16] (🏸..🐇) бадминтон..кролик
1F408 ; Эмодзи # E0.7 [1] (🐈) кошка
1F409..1F40B ; Эмодзи # E1.0 [3] (🐉..🐋) дракон..кит
1F40C..1F40E ; Эмодзи # E0.6 [3] (🐌..🐎) улитка.. лошадь
1F40F..1F410 ; Эмодзи # E1.0 [2] (🐏..🐐) баран ..козел
1F411..1F412 ; Эмодзи # E0.6 [2] (🐑..🐒) овца..обезьяна
1F413 ; Эмодзи # E1.0 [1] (🐓) петух
1F414; Эмодзи # E0.6 [1] (🐔) курица
1F415 ; Эмодзи # E0.7 [1] (🐕) собака
1F416 ; Эмодзи # E1.0 [1] (🐖) свинья
1F417..1F429 ; Эмодзи # E0.6 [19] (🐗..🐩) кабан..пудель
1F42A ; Эмодзи # E1.0 [1] (🐪) верблюд
1F42B..1F43E ; Эмодзи # E0.6 [20] (🐫..🐾) двугорбый верблюд..отпечатки лап
1F43F ; Эмодзи # E0.7 [1] (🐿️) бурундук
1F440 ; Эмодзи # E0.6 [1] (👀) глаза
1F441 ; Эмодзи # E0.7 [1] (👁️) глаз
1F442..1F464 ; Эмодзи # E0.6 [35] (👂..👤) ухо ..бюст в силуэте
1F465 ; Эмодзи # E1.0 [1] (👥) силуэтные бюсты
1F466..1F46B ; Эмодзи # E0.6 [6] (👦..👫) мальчик .. женщина и мужчина, держащиеся за руки
1F46C..1F46D ; Эмодзи # E1.0 [2] (👬..👭) мужчины держатся за руки .. женщины держатся за руки
1F46E..1F4AC ; Эмодзи # E0.6 [63] (👮..💬) офицер полиции .. речевой шар
1F4AD ; Эмодзи # E1.0 [1] (💭) мысленный шар
1F4AE..1F4B5 ; Эмодзи # E0.6 [8] (💮..💵) белый цветок .. долларовая банкнота
1F4B6 ..1F4B7 ; Эмодзи # E1.0 [2] (💶..💷) банкнота евро .. банкнота фунта
1F4B8..1F4EB ; Эмодзи # E0.6 [52] (💸..📫) деньги с крыльями ..закрытый почтовый ящик с поднятым флагом
1F4EC..1F4ED ; Эмодзи # E0.7 [2] (📬..📭) открыть почтовый ящик с поднятым флагом .. открыть почтовый ящик с опущенным флагом
1F4EE ; Эмодзи # E0.6 [1] (📮) почтовый ящик
1F4EF ; Эмодзи # E1.0 [1] (📯) почтовый рожок
1F4F0..1F4F4 ; Эмодзи # E0.6 [5] (📰..📴) газета .. мобильный телефон выключен
1F4F5 ; Эмодзи # E1.0 [1] (📵) мобильных телефонов нет
1F4F6..1F4F7 ; Эмодзи # E0.6 [2] (📶..📷) антенные решетки .. камера
1F4F8 ; Эмодзи # E1.0 [1] (📸) камера со вспышкой
1F4F9..1F4FC ; Эмодзи # E0.6 [4] (📹..📼) видеокамера..видеокассета
1F4FD ; Эмодзи # E0.7 [1] (📽️) кинопроектор
1F4FF .. 1F502; Эмодзи # E1.0 [4] (📿..🔂) четки .. повторить одной кнопкой
1F503 ; Эмодзи # E0.6 [1] (🔃) вертикальные стрелки по часовой стрелке
1F504 ..1F507 ; Эмодзи # E1.0 [4] (🔄..🔇) кнопка со стрелками против часовой стрелки .. приглушенный динамик
1F508; Эмодзи # E0.7 [1] (🔈) низкая громкость динамика
1F509; Эмодзи # E1.0 [1] (🔉) средняя громкость динамика
1F50A..1F514; Эмодзи # E0.6 [11] (🔊..🔔) громкость динамика .. звонок
1F515 ; Эмодзи # E1.0 [1] (🔕) колокольчик с косой чертой
1F516..1F52B ; Эмодзи # E0.6 [22] (🔖..🔫) закладка.. водяной пистолет
1F52C..1F52D ; Эмодзи # E1.0 [2] (🔬..🔭) микроскоп..телескоп
1F52E..1F53D ; Эмодзи # E0.6 [16] (🔮..🔽) хрустальный шар .. кнопка вниз
1F549..1F54A ; Эмодзи # E0.7 [2] (🕉️..🕊️) ом..голубь
1F54B..1F54E ; Эмодзи # E1.0 [4] (🕋..🕎) кааба..менора
1F550..1F55B ; Эмодзи # E0.6 [12] (🕐..🕛) час дня ..двенадцать часов
1F55C..1F567 ; Эмодзи # E0.7 [12] (🕜..🕧) час тридцать..двенадцать тридцать
1F56F..1F570 ; Эмодзи # E0.7 [2] (🕯️..🕰️) свеча .. часы на каминной полке
1F573..1F579 ; Эмодзи # E0.7 [7] (🕳️..🕹️) отверстие.. джойстик
1F57A ; Эмодзи # E3.0 [1] (🕺) танцующий мужчина
1F587 ; Эмодзи # E0.7 [1] (🖇️) скрепки
1F58A..1F58D ; Эмодзи # E0.7 [4] (🖊️..🖍️) ручка.. карандаш
1F590 ; Эмодзи # E0.7 [1] (🖐️) рука с растопыренными пальцами
1F595..1F596 ; Эмодзи # E1.0 [2] (🖕..🖖) средний палец .. вулканское приветствие
1F5A4 ; Эмодзи # E3.0 [1] (🖤) черное сердце
1F5A5 ; Эмодзи # E0.7 [1] (🖥️) настольный компьютер
1F5A8 ; Принтер Emoji # E0.7 [1] (🖨️)
1F5B1..1F5B2 ; Эмодзи # E0.7 [2] (🖱️..🖲️) компьютерная мышь ..трекбол
1F5BC ; Эмодзи # E0.7 [1] (🖼️) картинка в рамке
1F5C2..1F5C4 ; Эмодзи # E0.7 [3] (🗂️..🗄️) разделители картотеки..картотечный шкаф
1F5D1..1F5D3 ; Эмодзи # E0.7 [3] (🗑️..🗓️) корзина для мусора .. спиральный календарь
1F5DC..1F5DE ; Эмодзи # E0.7 [3] (🗜️..🗞️) зажим ..свернутая газета
1F5E1 ; Эмодзи # E0.7 [1] (🗡️) кинжал
1F5E3 ; Эмодзи # E0.7 [1] (🗣️) говорящая голова
1F5E8 ; Эмодзи # E2.0 [1] (🗨️) левый речевой пузырь
1F5EF ; Эмодзи # E0.7 [1] (🗯️) правый пузырь гнева
1F5F3 ; Эмодзи # E0.7 [1] (🗳️) урна для голосования с бюллетенем
1F5FA ; Эмодзи # E0.7 [1] (🗺️) карта мира
1F5FB..1F5FF ; Эмодзи # E0.6 [5] (🗻..🗿) гора Фудзи..моаи
1F600 ; Эмодзи # E1.0 [1] (😀) ухмыляющееся лицо
1F601..1F606 ; Эмодзи # E0.6 [6] (😁..😆) сияющее лицо с улыбающимися глазами .. ухмыляющееся прищуренное лицо
1F607..1F608 ; Эмодзи # E1.0 [2] (😇..😈) улыбающееся лицо с нимбом .. улыбающееся лицо с рогами
1F609..1F60D ; Эмодзи # E0.6 [5] (😉..😍) подмигивающее лицо .. улыбающееся лицо с глазами-сердечками
1F60E ; Эмодзи # E1.0 [1] (😎) улыбающееся лицо в солнцезащитных очках
1F60F ; Эмодзи # E0.6 [1] (😏) ухмыляющееся лицо
1F610 ; Эмодзи # E0.7 [1] (😐) нейтральное лицо
1F611 ; Эмодзи # E1.0 [1] (😑) невыразительное лицо 
1F612..1F614 ; Эмодзи # E0.6 [3] (😒..😔) невеселое лицо .. задумчивое лицо 
1F615 ; Эмодзи # E1.0 [1] (😕) растерянное лицо
1F616 ; Эмодзи # E0.6 [1] (😖) растерянное лицо 
1F617 ; Эмодзи # E1.0 [1] (😗) целующееся лицо
1F618 ; Эмодзи # E0.6 [1] (😘) лицо, посылающее воздушный поцелуй
1F619 ; Эмодзи # E1.0 [1] (😙) целующееся лицо с улыбающимися глазами
1F61A ; Эмодзи # E0.6 [1] (😚) целующее лицо с закрытыми глазами
1F61B ; Эмодзи # E1.0 [1] (😛) лицо с языком
1F61C..1F61E ; Эмодзи # E0.6 [3] (😜..😞) подмигивающее лицо с высунутым языком .. разочарованное лицо
1F61F ; Эмодзи # E1.0 [1] (😟) обеспокоенное лицо
1F620..1F625 ; Эмодзи # E0.6 [6] (😠..😥) сердитое лицо .. грустное, но с облегчением на лице
1F626..1F627 ; Эмодзи # E1.0 [2] (😦..😧) хмурое лицо с открытым ртом .. страдальческое лицо 
1F628..1F62B ; Эмодзи # E0.6 [4] (😨..😫) испуганное лицо .. усталое лицо
1F62C ; Эмодзи # E1.0 [1] (😬) гримасничающее лицо
1F62D ; Эмодзи # E0.6 [1] (😭) громко плачущее лицо
1F62E..1F62F ; Эмодзи # E1.0 [2] (😮..😯) лицо с открытым ртом .. притихшее лицо
1F630..1F633 ; Эмодзи # E0.6 [4] (😰..😳) встревоженное лицо в поту.. раскрасневшееся лицо
1F634 ; Эмодзи # E1.0 [1] (😴) спящее лицо
1F635 ; Эмодзи # E0.6 [1] (😵) лицо с перечеркнутыми глазами
1F636 ; Эмодзи # E1.0 [1] (😶) лицо без рта
1F637..1F640 ; Эмодзи # E0.6 [10] (😷..🙀) лицо в медицинской маске .. усталый кот
1F641..1F644 ; Эмодзи # E1.0 [4] (🙁..🙄) слегка нахмуренное лицо .. лицо с закатившимися глазами
1F645..1F64F ; Эмодзи # E0.6 [11] (🙅..🙏) человек, жестикулирующий НЕТ..сложенные руки
1F680 ; Эмодзи # E0.6 [1] (🚀) ракета
1F681..1F682 ; Эмодзи # E1.0 [2] (🚁..🚂) вертолет..локомотив
1F683..1F685 ; Эмодзи # E0.6 [3] (🚃..🚅) железнодорожный вагон .. скоростной поезд
1F686 ; Эмодзи # E1.0 [1] (🚆) поезд
1F687 ; Эмодзи # E0.6 [1] (🚇) метро
1F688 ; Эмодзи # E1.0 [1] (🚈) скоростной трамвай
1F689 ; Эмодзи # E0.6 [1] (🚉) станция
1F68A..1F68B ; Эмодзи # E1.0 [2] (🚊..🚋) трамвай .. трамвайный вагон
1F68C ; Эмодзи # E0.6 [1] (🚌) автобус
1F68D; Эмодзи # E0.7 [1] (🚍) встречный автобус
1F68E ; Эмодзи # E1.0 [1] (🚎) троллейбус
1F68F; Эмодзи # E0.6 [1] (🚏) автобусная остановка
1F690 ; Эмодзи # E1.0 [1] (🚐) микроавтобус
1F691..1F693 ; Эмодзи # E0.6 [3] (🚑..🚓) скорая помощь ..полицейская машина
1F694 ; Эмодзи # E0.7 [1] (🚔) встречная полицейская машина
1F695; Эмодзи # E0.6 [1] (🚕) такси
1F696 ; Эмодзи # E1.0 [1] (🚖) встречное такси
1F697; Эмодзи # E0.6 [1] (🚗) автомобиль
1F698 ; Эмодзи # E0.7 [1] (🚘) встречный автомобиль
1F699..1F69A ; Эмодзи # E0.6 [2] (🚙..🚚) внедорожник..грузовик для доставки грузов
1F69B..1F6A1 ; Эмодзи # E1.0 [7] (🚛..🚡) сочлененный грузовик..подвесной трамвай
1F6A2 ; Эмодзи # E0.6 [1] (🚢) корабль
1F6A3 ; Эмодзи # E1.0 [1] (🚣) гребная лодка для одного человека
1F6A4..1F6A5 ; Эмодзи # E0.6 [2] (🚤..🚥) скоростной катер .. горизонтальный светофор
1F6A6 ; Эмодзи # E1.0 [1] (🚦) вертикальный светофор
1F6A7..1F6AD ; Эмодзи # E0.6 [7] (🚧..🚭) construction..no курение
1F6AE ..1F6B1 ; Эмодзи # E1.0 [4] (🚮..🚱) знак "мусор в мусорном ведре" .. вода не пригодна для питья
1F6B2 ; Эмодзи # E0.6 [1] (🚲) велосипед
1F6B3..1F6B5 ; Эмодзи # E1.0 [3] (🚳..🚵) велосипедов нет..человек катается на горных велосипедах
1F6B6 ; Эмодзи # E0.6 [1] (🚶) идущий человек
1F6B7..1F6B8 ; Эмодзи # E1.0 [2] (🚷..🚸) пешеходов нет .. дети переходят дорогу
1F6B9..1F6BE ; Эмодзи # E0.6 [6] (🚹..🚾) мужской туалет.. ватерклозет
1F6BF ; Эмодзи # E1.0 [1] (🚿) душ
1F6C0 ; Эмодзи # E0.6 [1] (🛀) человек, принимающий ванну
1F6C1..1F6C5 ; Эмодзи # E1.0 [5] (🛁..🛅) ванна .. оставленный багаж
